fold_id,test_year,endpoint_id,endpoint_label,variant_id,n_predictors_raw,n_encoded_features_train,n_encoded_features_final,selected_rounds,tune_score
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,FULL_REFERENCE,48,72,73,279,0.111857474951662
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,NO_RESP_ASSISTANCE,47,68,69,286,0.111875542490084
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,NO_RESP_SUPPORT,46,63,64,241,0.111907294797509
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,NO_GCS_AIRWAY_QUALIFIERS,46,70,71,275,0.111975365941157
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,NO_AIRWAY_PROXY_SET,44,61,62,281,0.112016894036233
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,NO_HELMET,47,67,68,286,0.111860763694307
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,NO_MECHANISM_HELMET,46,60,61,286,0.112652059418858
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,NO_NONCRANIAL_INJURY_PHENOTYPES,42,66,67,281,0.112066233113513
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,NO_PMHX,36,60,61,273,0.112179125836542
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,CORE_NEURO,24,31,32,233,0.113608504544646
TEST_2022,2022,icp_pressure_monitor_final,Invasive ICP monitoring,CORE_NEURO_PLUS_RESP,26,40,41,236,0.113617464279774
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,FULL_REFERENCE,48,72,73,364,0.130143392070741
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_RESP_ASSISTANCE,47,68,69,427,0.130159203740741
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_RESP_SUPPORT,46,63,64,366,0.130286886748587
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_GCS_AIRWAY_QUALIFIERS,46,70,71,433,0.13023878053155
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_AIRWAY_PROXY_SET,44,61,62,413,0.13043466832596
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_HELMET,47,67,68,428,0.130228605348029
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_MECHANISM_HELMET,46,60,61,361,0.131679133281291
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_NONCRANIAL_INJURY_PHENOTYPES,42,66,67,428,0.130396523270378
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_PMHX,36,60,61,427,0.130716493885909
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,CORE_NEURO,24,31,32,243,0.133043068580608
TEST_2022,2022,craniotomy_craniectomy_final,Craniotomy/craniectomy,CORE_NEURO_PLUS_RESP,26,40,41,244,0.133045955112457
TEST_2023,2023,discharge_3cat_final,Disposition,FULL_REFERENCE,48,73,73,1056,0.569873542322736
TEST_2023,2023,discharge_3cat_final,Disposition,NO_RESP_ASSISTANCE,47,69,69,965,0.569910378830069
TEST_2023,2023,discharge_3cat_final,Disposition,NO_RESP_SUPPORT,46,64,64,965,0.571207363152817
TEST_2023,2023,discharge_3cat_final,Disposition,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,965,0.570830762362565
TEST_2023,2023,discharge_3cat_final,Disposition,NO_AIRWAY_PROXY_SET,44,62,62,968,0.57216198287047
TEST_2023,2023,discharge_3cat_final,Disposition,NO_HELMET,47,68,68,996,0.570263939013528
TEST_2023,2023,discharge_3cat_final,Disposition,NO_MECHANISM_HELMET,46,61,61,887,0.573907385364293
TEST_2023,2023,discharge_3cat_final,Disposition,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,974,0.592285213224602
TEST_2023,2023,discharge_3cat_final,Disposition,NO_PMHX,36,61,61,828,0.580091120936769
TEST_2023,2023,discharge_3cat_final,Disposition,CORE_NEURO,24,32,32,619,0.611305859362993
TEST_2023,2023,discharge_3cat_final,Disposition,CORE_NEURO_PLUS_RESP,26,41,41,662,0.609205812840904
TEST_2023,2023,icu_trajectory_final,ICU trajectory,FULL_REFERENCE,48,73,73,1042,0.680807363785028
TEST_2023,2023,icu_trajectory_final,ICU trajectory,NO_RESP_ASSISTANCE,47,69,69,1043,0.681053390596483
TEST_2023,2023,icu_trajectory_final,ICU trajectory,NO_RESP_SUPPORT,46,64,64,1035,0.682983469141677
TEST_2023,2023,icu_trajectory_final,ICU trajectory,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,1025,0.681271848957702
TEST_2023,2023,icu_trajectory_final,ICU trajectory,NO_AIRWAY_PROXY_SET,44,62,62,1026,0.68370711566074
