fold_id,test_year,endpoint_id,endpoint_label,variant_id,class,selected_rounds,N,events,prevalence,AUROC,AUPRC,Brier,calibration_intercept,calibration_slope
TEST_2022,2022,discharge_3cat_final,Disposition,CORE_NEURO,Post-acute facility,418,152944,36366,0.23777330264672,0.738129019868096,0.43522644214389,0.158558449322743,-0.0212000656656347,0.954314657788742
TEST_2022,2022,discharge_3cat_final,Disposition,CORE_NEURO,Death/hospice,418,152944,19098,0.124869233183387,0.932618239521569,0.760189138324532,0.0548933960487659,0.0279149096491092,1.01394507301677
TEST_2022,2022,discharge_3cat_final,Disposition,CORE_NEURO_PLUS_RESP,Home/home health,436,152944,97480,0.637357464169892,0.841022651441599,0.891744969954336,0.150142069239789,0.00913617445523083,0.988972448966171
TEST_2022,2022,discharge_3cat_final,Disposition,CORE_NEURO_PLUS_RESP,Post-acute facility,436,152944,36366,0.23777330264672,0.739747649795856,0.437135810661032,0.15824038061778,-0.0190645258243911,0.952004014036871
TEST_2022,2022,discharge_3cat_final,Disposition,CORE_NEURO_PLUS_RESP,Death/hospice,436,152944,19098,0.124869233183387,0.933461667722981,0.761847495186617,0.0546757507392123,0.0298630662226019,1.01231309672638
TEST_2022,2022,icu_trajectory_final,ICU trajectory,FULL_REFERENCE,No ICU,792,152944,76077,0.497417355371901,0.857622982033301,0.861504932428486,0.153165381201175,0.0418187144758542,1.03705195683251
TEST_2022,2022,icu_trajectory_final,ICU trajectory,FULL_REFERENCE,ICU 1-7 days,792,152944,58888,0.385029814834188,0.758687212930474,0.612031882579423,0.190048270775757,-0.0607218714954932,1.01652507297435
TEST_2022,2022,icu_trajectory_final,ICU trajectory,FULL_REFERENCE,ICU >=8 days,792,152944,17979,0.117552829793912,0.881406811220936,0.539984159762183,0.0732115500907222,0.0703187240838556,1.00840860809246
TEST_2022,2022,icu_trajectory_final,ICU trajectory,FULL_REFERENCE,Any ICU use,792,152944,76867,0.502582644628099,0.857622982033301,0.856937086475162,0.153165381201175,-0.0418187144758542,1.03705195683251
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_ASSISTANCE,No ICU,731,152944,76077,0.497417355371901,0.857476577928366,0.861347271372882,0.153251752810692,0.0421261510735096,1.03957794850802
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_ASSISTANCE,ICU 1-7 days,731,152944,58888,0.385029814834188,0.75860163110937,0.611964973589922,0.190084754382786,-0.0603844085107248,1.01937210634588
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_ASSISTANCE,ICU >=8 days,731,152944,17979,0.117552829793912,0.881318210836075,0.539073106557103,0.073269889780727,0.0685926355324606,1.01153037429613
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_ASSISTANCE,Any ICU use,731,152944,76867,0.502582644628099,0.857476577928366,0.856729629489798,0.153251752810692,-0.0421261510735096,1.03957794850802
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_SUPPORT,No ICU,738,152944,76077,0.497417355371901,0.856440310297668,0.860158834544318,0.153818601655404,0.0455871241006384,1.04039872538693
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_SUPPORT,ICU 1-7 days,738,152944,58888,0.385029814834188,0.757685894718604,0.61051409610138,0.190406426605227,-0.0625855271765406,1.02150352247607
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_SUPPORT,ICU >=8 days,738,152944,17979,0.117552829793912,0.880379002949239,0.538134638779865,0.0734019372845856,0.0667505587761712,1.01246328751596
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_RESP_SUPPORT,Any ICU use,738,152944,76867,0.502582644628099,0.856440310297668,0.855645969290844,0.153818601655404,-0.0455871241006384,1.04039872538693
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_GCS_AIRWAY_QUALIFIERS,No ICU,734,152944,76077,0.497417355371901,0.857445083663659,0.861304255741158,0.153261070985111,0.0419330113475219,1.03847561581966
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_GCS_AIRWAY_QUALIFIERS,ICU 1-7 days,734,152944,58888,0.385029814834188,0.758811960037491,0.612274491394011,0.190015586950039,-0.0603587677971999,1.0190028558518
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_GCS_AIRWAY_QUALIFIERS,ICU >=8 days,734,152944,17979,0.117552829793912,0.881026966413087,0.539025088542052,0.0733146060312463,0.0688445819634156,1.01193162982539
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_GCS_AIRWAY_QUALIFIERS,Any ICU use,734,152944,76867,0.502582644628099,0.857445083663659,0.85650188223117,0.153261070985111,-0.0419330113475218,1.03847561581966
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_AIRWAY_PROXY_SET,No ICU,701,152944,76077,0.497417355371901,0.856057336635849,0.859848617423221,0.154017751122456,0.0463498856435256,1.04125651721354
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_AIRWAY_PROXY_SET,ICU 1-7 days,701,152944,58888,0.385029814834188,0.757566228071939,0.609810503521008,0.190455609174378,-0.0629018509560433,1.02372328791368
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_AIRWAY_PROXY_SET,ICU >=8 days,701,152944,17979,0.117552829793912,0.880007214894777,0.537723127286551,0.0734927426414297,0.0657772088692849,1.014183883241
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_AIRWAY_PROXY_SET,Any ICU use,701,152944,76867,0.502582644628099,0.856057336635849,0.854938236534962,0.154017751122456,-0.0463498856435256,1.04125651721354
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_HELMET,No ICU,727,152944,76077,0.497417355371901,0.857606999983975,0.861524113360646,0.153175897767027,0.0418884000948671,1.03987775392001
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_HELMET,ICU 1-7 days,727,152944,58888,0.385029814834188,0.758797358690265,0.612442253085161,0.190005650178574,-0.0605116441982201,1.0195441910583
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_HELMET,ICU >=8 days,727,152944,17979,0.117552829793912,0.881416027652278,0.540115403983,0.0732067298104723,0.0694669069240377,1.01173185108599
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_HELMET,Any ICU use,727,152944,76867,0.502582644628099,0.857606999983975,0.85688757678732,0.153175897767027,-0.0418884000948671,1.03987775392001
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_MECHANISM_HELMET,No ICU,737,152944,76077,0.497417355371901,0.856993610008166,0.860826505791532,0.153495429797977,0.0417176971429613,1.03737098528297
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_MECHANISM_HELMET,ICU 1-7 days,737,152944,58888,0.385029814834188,0.757903032378962,0.610868625366079,0.19028221332889,-0.0604245399853703,1.01758173142013
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_MECHANISM_HELMET,ICU >=8 days,737,152944,17979,0.117552829793912,0.879760151152276,0.535629626356327,0.0736196714237396,0.0694012907177635,1.00813761098677
